PERFIS;wagsantisteban;danilogentili;Leah_Sandy;rafinhabastos;huckluciano;marcelotas;programapanico;rosana;kibeloco;melhoresfrases;;;;;;;;;;;;;
346;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Fica indo mtu lá no Congresso, quase pegou gripe suína. é nisso que dá andar no meio dos porcos.;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
347;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;Vcs tem que por esse video no ar, é muito bom! Espero que vc tenha melhorado, pq nãoo quero pegar gripe suina rsrs@danilogentili;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
348;RT Leah_SandyRT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar c ...;"RT @danilogentili: Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
349;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! fato!!!;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
350;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
351;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili ainda bem q nãoo é gripe suina. Eu vou lá no Clube da Comedia quarta. flw;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
352;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;Galera ... hj tem CQC na Band !!! Assistam com mascara pq o @danilogentili ta com gripe suina !!!! Poooorrrrrcccccooooo !!!!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
353;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@danilogentili Obesidade agrava virus da gripe suina. Nãoo é coincidência que dizem: ""Ele é gordo como um porco."" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
354;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Talvez seja mais um efeito da Gripe Suína! Seu blog e seu site podem estar contaminado!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
355;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili td culpa da gripe suina..haeuhueahe;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
356;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;Ou seja: Fudeu geral! @osmala e eu tamo no sal... RT @danilogentili: Obesidade agrava virus da gripe suina. http://bit.ly/onceg;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
357;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Vai ver foi algum gordinho que nãoo gostou da piada anterior sobre a gripe suína e hackeou.;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
358;@wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! FATO!;"RT: @danilogentili: Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
359;RT @lilianeprata: @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscara.33 MILHõeS têm AIDS e ning quer usar cami ...;@danilogentili é vírus, gripe suína no servidor. Toma uma medida legal contra isso!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
360;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Algum porquinho deve ter se revoltado com vc pela gripe suína e resolveu hackear tudo que lhe pertence!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
361;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili O vírus da gripe suína chegou ao mundo virtual.;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
362;RT @Leah_Sandy RT @wagsantisteban 4 mil pessoas têm gripe suína e td mundo quer usar máscaras.33 MILHõeS têm AIDS e ngm quer usar camisinha!;@danilogentili Talvez eles estejam com a gripe suína....;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
363;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Será que você nãoo passou a gripe suína para o seu blog e site? Eles devem estar em observação ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
364;RT @galisteu RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo qer usar máscaras. 33 MILHõeS têm AIDS e ngm qer usar camisinha!;@danilogentili Deve ser o virus da Gripe Suina que atacou o servidor...;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
365;RT @Leah_Sandy RT @wagsantisteban 4mil pessoas têm gripe suína e td mundo quer usar máscaras. 33 MILHõeS têm AIDS e ngm quer usar camisinha!;@danilogentili é a gripe suína :/;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
366;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili nãoo nãoo, é efeito da gripe suina mesmo;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
367;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili entãoo o Já Soares tá morto!!! Bem que desconfiei que aquilo era um andróide. #gripeSuína/AÂ¬Â¬;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
368;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" ";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
369;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"Mustafa...RT danilogentiliObesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
370;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Obesidade e gripe suína? Me fodi!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
371;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
372;RT @vaninani @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS ninguém quer usar camisinha;@danilogentili HAHAHAHA Nesse caso to livre d pega gripe suina com o meu super peso pena! Isso até me acalmo!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
373;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili sortr minha que sou MULHER! geralmente falam que eu sou gorda que nem uma Baleia e baleia nãoo pega Gripe Suína!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
374;@Leah_Sandy RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém usa camisinha!;"RT:@danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
375;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"""Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" HAHAHA, BOA! @danilogentili";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
376;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili ta bem ein, em uma semana vc conseguiu varias coisas, apanhar do segurança e gripe suina, é macumba?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
377;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili ta com gripe suina? o___O Sem querer jogar praga, mas espero que isso adie o Stand Up dele, porquê vou tar viajando;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
378;RT @Leah_Sandy @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e nigm quer usar camisinha;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo é coincidencia q dizem: ""Ele e gordo como um porco"" ' LOL! ";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
379;RT @Sandy RT @wagsantisteban 4mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili: Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
380;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! Triste!;"RT: @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
381;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"fudeu! RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
382;RT: @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;O SHT! / RT @danilogentili: Obesidade agrava virus da gripe suina. #piadasuppressed http://bit.ly/onceg;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
383;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
384;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"um dos melhores) RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco""";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
385;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco""  http://migre.me/3ggA";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
386;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele é gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
387;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
388;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"AHOWEAEAOWEUAHWHAOWEUAWOH RT: @danilogentili: Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco""";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
389;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! #tenso;"Onde vende máscaras? Help! RT @danilogentili Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco""";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
390;RT @Leah_Sandy: RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usa ...;"RT @danilogentili: Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
391;@wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili: Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
392;RT @Leah_Sandy RT @wagsantisteban 4mil pessoas têm gripe suína e td mundo qr usar máscaras.33 MILHõeS têm AIDS e ninguém qr usar camisinha!;"RT @danilogentili: Obesidade agrava virus da gripe suina. Nãoo e coincidencia q dizem: ""Ele e gordo como um porco"" http://bit.ly/onceg";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
393;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili http://twitpic.com/9eyis - Era bem provável ser gripe suína né, afinal, tu passou tanto tempo lá Senado, q os porcos q te ...;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
394;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili heey moço, vc já tá melhor?! depois da agressãoo, a gripe suína? q semana heim!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
395;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Pena que nãoo era a gripe suína. Se fosse, seria uma boa para a maratona CQC Senado com você.;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
396;RT @prit_ RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ngm quer usar camisinha!!;@danilogentili Vc é palmeirense?? Gripe suína??? Como assim? ahahah;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
397;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@marcelotas Ele acabou de terminar um show aqui, tirando a cara suína, estava ótimo, nem parecia estar com gripe suína #DaniloGentiliMorreu;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
398;RT @danmelo RT @wagsantisteban 4 mil pessoas têm gripe suína e td mundo quer usar máscaras. 33 MILHõeS têm AIDS e ngm quer usar camisinha!;saiu no terra que o @danilogentili brincou flando em gripe suina, na boa se ele peidar vai sair la: reporter do CQC peida.;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
399;RT @Leah_Sandy RT @wagsantisteban 4 mil têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e nãoo querem usar camisinha!!;Ele ão± tem jeito msm... RT @marcelotas: Pra qm tava preocupado RT @danilogentili Acordei c/ febre menor. A suspeita de gripe suina passou ...;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
400;RT @surferbabe_ RT @wagsantisteban 4mil pessoas têm gripe suína&todo mundo quer usar máscaras 3MILHõeS têm AIDS&ninguém quer usar camisinha!;@marcelotas, deixa eu ver se entendi O @danilogentili tava com suspeita de Gripe suína. Passou e agora ele quer ir comer as porcas DENOVO?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
401;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Aaaaah q bom q naum eh gripe suina Danilo! Kra tu eh gato d= hehe :)));-;-;-;-;-;-;-;-;;;;;;;;;;;;;
402;RT: @Leah_Sandy: RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. (...);RT @BeatrizSilva Eu quero ver o @danilogentili, nem q seja com Gripe Suina!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
403;RT @Leah_Sandy @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ngm quer usar camisinha!;RT @marcelotas Pra quem tava preocupado ele RT @danilogentili Acordei c/ febre menor. A suspeita de gripe suina passou! Vamos transar?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
404;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @danilogentili ""Acordei c/ febre menor. A suspeita de gripe suina passou! Vamos transar?"" A bunda é sua ne!? Mas use-a com moderação! rs.";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
405;RT@maysaluz @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;kkkkkkkkkk Ou cabecinha fertl essa RT @danilogentili Acordei c/ febre menor. A suspeita de gripe suina passou! Vamos transar?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
406;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;Pra quem tava preocupado ele RT @danilogentili Acordei c/ febre menor. A suspeita de gripe suina passou! Vamos transar?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
407;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili E ai Danilo... Vc viu? Saiu até no site OFuxico que você estava com Gripe Suína! rsrsrs... Todo mundo te ama! rsrsrs...;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
408;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;Ai, ai, ai... @danilogentili com Gripe Suína? Nem vem! Meu ingresso para 11/07 em Ribeirãoo Preto já está comprado!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
409;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@andreolifelipe tbmconcordoele mesmo se matou  RT: @danilogentili Com muitopesarvenhoavisar q infelizmente ele veio a falecer de Gripe Suina;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
410;RT: @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;cuidado galera de Rio Claro o @danilogentili ta indo pra ai só divulgar a gripe suína!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
411;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili AINDA BEM QUE não é GRIPE SUINA;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
412;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;mais do nada minha amiga me fala no msn, você viu o twitter do @danilogentili ? eu disse: sobre a gripe suina ? vi sim ! e ela me diz não!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
413;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili @rogeriomorgado Adorooo vocês com ou sem gripe (suína ou nãoo)!;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
414;RT: @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili http://twitpic.com/9eyis - você pode nãoo estar com gripe suína, mas que está parecendo bem mal você está!melhoras;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
415;RT @Leah_Sandy @wagsantisteban 4 mil têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @danilogentili Acordei c/ febre menor. A suspeita de gripe suina passou! Vamos transar?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
416;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili  ...Aff q bom..achei q tu tava coma gripe suina msm...q susto...jah tinha ficado até trsite..ainda bem q nãoo e esta...xD;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
417;@marcelotas RT @wagsantisteban 4 mil pess. com gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT@danilogentili Eu tava brincando. Só queria ver se gostavam de mim. Acordei c/ febre menor.A suspeita de gripe suina passou!Vamos transar?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
418;RT: @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @danilogentili A suspeita de gripe suina passou! Vamos transar?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
419;@galisteuRT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @danilogentili Aqui é o primo do Danilo. Venho aqui falar q infelizmente ele veio falecer de Gripe Suina. Detalhes do velório breve.;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
420;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ng quer usar camisinha!;@danilogentili vc sabe que quem morre de gripe suína vira espão­rito de porco, né? [êpa! entãoo o Sarney é uma alma penada? O.O *sinaldacruz*];-;-;-;-;-;-;-;-;;;;;;;;;;;;;
421;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;só eu dei risada com a piadinha de humor negro do @danilogentili com a possão­vel própria morte por gripe suína?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
422;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;eeeeeeeeeee o @danilogentili morreu RT @danilogentili Aqui é o primo do Danilo. [...] infelizmente ele veio a falecer de Gripe Suina. [..];-;-;-;-;-;-;-;-;;;;;;;;;;;;;
423;RT @primansur RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ng quer usar camisinha!;ão± precisava mentir pra ver quem gosta de vc...mas vc teve febre?pq suspeita de gripe suína?@danilogentili;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
424;Perfect RT: @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscara. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Uai.. já tá bom assim?!? Suspeita de gripe suína é melhor que Viagra????;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
425;RT @wagsantisteban: 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @MauMeirelles O @danilogentili nãoo morreu de gripe suína. O vírus nãoo aguentou ficar com ele 2 segundos.;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
426;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @MauMeirelles O @danilogentili nãoo morreu de gripe suína. O vírus nãoo aguentou ficar com ele 2 segundos.;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
427;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! #pasmei;é bom mesmo o @danilogentili nãoo estar com gripe suína, pq eu e a Frávia já compramos nossos ingressos pra sexta uaheuaeha;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
428;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili mais que poha é essa? O_O' que mané falecer de gripe suina, por Deus Danilo! :O;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
429;@Leah_Sandy @wagsantisteban 4mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili  meu tio esta com gripe suina ;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
430;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Pessoal.Eu tava brincando.Só keria ver c gostavam d mim.Acordei c/febre menor.A suspeita d gripe suina passou!Vamos transar?;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
431;RT @wagsantisteban: 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@danilogentili eu fui pro google ver se vc tinha morrido, já pensei nas manchetes ""comediante é a mais nova vitima da gripe suina!"" kkkkkkk";-;-;-;-;-;-;-;-;;;;;;;;;;;;;
432;RT @Leah_Sandy @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras 33 MILHõeS têm AIDS e ninguém usa camisinha!;E a gripe suína do @danilogentili era só mais uma piada. rsrsrs;-;-;-;-;-;-;-;-;;;;;;;;;;;;;
